"Montrouge (Seine)",500
Voisins-le-Br,500
G,499
"Plombières-les-Bains",499
Dinan,498
Avranches,497
Orange,496
Brignoles,495
Haguenau,495
Magdeburg,493
Trier,492
Frankfurt,491
Tournefeuille,491
Montreuil-sur-Mer,489
Helmestadii,488
Lucca,487
"Halis Saxonum",486
Poissy,485
Brescia,484
"Trézélan",480
Batavia,479
Duaci,478
Turin,476
Madras,475
Potsdam,475
"Châteaulin",472
Albany,471
Givors,471
Langensalza,471
Lourdes,470
Montbard,470
"Königsberg i. Pr",469
Orsay,468
Bergamo,467
"La Baule",467
Epinal,466
Gent,465
Pontarlier,465
"Québec (Québec",465
Leuven,464
Rocquencourt,464
Barcelone,463
"Châtenay-Malabry",463
Abidjan,462
"Montmélian",460
Aguessac,458
"Saarbrücken",458
Geneva,456
Leide,455
"Hà-nội",452
Baden-Baden,451
Iena,450
Pape,450
Belley,449
Erfurt,447
Creil,446
Panazol,446
Tiguri,445
Cordes-sur-Ciel,444
Can,443
Luzern,443
"Villeneuve d'Ascq",443
Libourne,441
Minneapolis,440
Leyde,439
Vratislaviae,438
Nismes,437
"Saint-Léger-Vauban",437
"Boucherville (Québec",436
Ankara,433
"Saint-Étienne-de-Montluc",433
"Gollion (Suisse",431
"La Roque-sur-Pernes",428
Lisieux,426
Siena,426
Elbeuf,424
Thonon-les-Bains,424
Mouans-Sartoux,423
"Charleville-Mézières",422
Hanoviae,421
Altdorfii,420
Bloomington,420
Bogota,420
Mens,419
Morhange,419
Mesnil,418
Altenburg,417
Bamberg,417
Villeneuve-Saint-Georges,415
Olonzac,413
"San Francisco",413
"Téhéran",413
Andilly,412
Constantinople,412
"54-Vandœuvre",411
Vindobonae,409
"Bruyères-le-Châtel",408
Clamecy,407
Ingersheim-Colmar,407
Joinville-le-Pont,407
Essen,406
Montreal,406
Phalempin,406
Aubenas,404
"Jena : Fischer",404
"La Seyne-sur-Mer",404
Rians,403
"63-Aubière",402
Villefranche-de-Rouergue,402
Guebwiller,399
Nancy-Paris-Strasbourg,397
"St. Pétersbourg",396
Colombes,395
Vic-en-Bigorre,395
"Città di Castello",394
Altorfii,393
"Carrières-sur-Seine",393
"Gossau Zurich",393
Nemours,392
Saint-Germain,392
St,392
Evry,391
Zaragoza,390
"Lengerich i. W",386
Salamanca,385
Bagnol,384
Neuvic-Entier,384
"Köbenhavn",383
Saint-Maur,383
B,381
"Basel ?",381
Charleroi,381
Montargis,381
Frauenfeld,380
Marly-le-Roi,380
Villeneuve-sur-Lot,380
Mantes-la-Jolie,379
Sherbrooke,379
Batignolles,378
"Lunéville",378
Erlangae,376
"Épernay",376
Bangkok,374
Ljubljana,374
Dortm,372
Wambrechies,372
Aix-les-Bains,371
Dourdan,371
"Łódź",371
"Sài-gòn",369
Auvers-sur-Oise,368
Bucuresci,368
Castelnau-le-Lez,368
"Kallmünz",367
Montdidier,366
Rancon,365
Saint-Maixent,365
Toul,365
Jurjew,364
"Saint-Pierre-lès-Nemours",364
"Canéjan",361
Pamiers,361
Viennae,361
Alais,360
"Guérande",360
"La Tour d'Aigues",360
Santiago,360
Fiorenza,359
"Châtellerault",358
Lublin,357
Charenton-le-Pont,356
Halae,356
Barbentane,355
Lisbonne,355
Bergen,354
Chamonix,354
"Genève-Bernex",354
"Genève ?",353
"Outremont (Québec",353
Sainte-Clotilde,353
Livorno,352
Provins,350
Tolosae,350
Saint-Jean-des-Mauvr,349
"Château-Thierry",348
"La Ravoire",347
Lancaster,346
Harmondsworth,345
"Strassburg i. E",345
"'S-Gravenhage",344
"Chambray-lès-Tours",344
"Lübeck",344
Menton,344
Monachii,344
Witebergae,344
